CODIGO_REGIONAL,NOMBRE_REGIONAL,CODIGO_CENTRO,NOMBRE_CENTRO,IDENTIFICADOR_UNICO_FICHA,FECHA_INICIO_FICHA,FECHA_TERMINACION_FICHA,CODIGO_PROGRAMA,VERSION_PROGRAMA,NOMBRE_PROGRAMA_FORMACION,NIVEL_FORMACION,MODALIDAD_FORMACION,TOTAL_APRENDICES_MATRICULADOS,DESERTORES_AÑO_ACTUAL,PERIODO,tasa_desercion,duracion_dias,duracion_meses,mes_inicio,año_inicio,tiene_desercion
5,REGIONAL ANTIOQUIA,9203,CENTRO PARA EL DESARROLLO DEL HABITAT Y LA CONSTRUCCION,12802621,2023-07-17,2024-10-16,836137,1,MANTENIMIENTO Y REPARACION DE EDIFICACIONES.,TECNICO,PRESENCIAL,20,0,202402,0,457,15,7,2023,FALSE
11,REGIONAL DISTRITO CAPITAL,9215,CENTRO DE MATERIALES Y ENSAYOS,12904106,2024-01-30,2024-02-26,82110051,1,CODIGOS Y NORMAS DE SOLDADURA,CURSO ESPECIAL,VIRTUAL,80,71,202402,0.8875,27,0.9,1,2024,TRUE
5,REGIONAL ANTIOQUIA,9204,CENTRO DE TECNOLOGIA DE LA MANUFACTURA AVANZADA.,12740541,2023-04-17,2024-07-16,837530,1,"MANTENIMIENTO DE EQUIPOS DE REFRIGERACION, VENTILACION Y CLIMATIZACION",TECNICO,PRESENCIAL,17,1,202402,0.058823529411764705,456,15,4,2023,TRUE
5,REGIONAL ANTIOQUIA,9501,COMPLEJO TECNOLOGICO PARA LA GESTION AGROEMPRESARIAL,12721503,2023-03-27,2025-06-26,228118,1,ANALISIS Y DESARROLLO DE SOFTWARE.,TECNOLOGO,VIRTUAL,37,0,202402,0,822,27,3,2023,FALSE
54,REGIONAL NORTE DE SANTANDER,9537,"CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS",12562351,2022-07-18,2024-10-17,224201,1,DESARROLLO DE SISTEMAS ELECTRONICOS INDUSTRIALES,TECNOLOGO,PRESENCIAL,13,0,202402,0,822,27,7,2022,FALSE
73,REGIONAL TOLIMA,9123,CENTRO AGROPECUARIO LA GRANJA,12694687,2023-01-23,2024-11-30,936161,1,AGROINDUSTRIA ALIMENTARIA,TECNICO,PRESENCIAL,17,0,202402,0,677,22.3,1,2023,FALSE
76,REGIONAL VALLE,9229,CENTRO DE DISEÑO TECNOLOGICO INDUSTRIAL,12455249,2021-11-29,2024-02-28,228118,1,ANALISIS Y DESARROLLO DE SOFTWARE.,TECNOLOGO,VIRTUAL,6,1,202402,0.16666666666666666,821,27,11,2021,TRUE
73,REGIONAL TOLIMA,9226,CENTRO DE INDUSTRIA Y CONSTRUCCION,12875301,2024-01-22,2025-04-21,832333,1,MANTENIMIENTO E INSTALACION DE SISTEMAS SOLARES FOTOVOLTAICOS,TECNICO,PRESENCIAL,25,0,202402,0,455,15,1,2024,FALSE
11,REGIONAL DISTRITO CAPITAL,9405,CENTRO DE SERVICIOS FINANCIEROS,12834851,2023-09-11,2025-12-10,228118,1,ANALISIS Y DESARROLLO DE SOFTWARE.,TECNOLOGO,VIRTUAL,49,0,202402,0,821,27,9,2023,FALSE
11,REGIONAL DISTRITO CAPITAL,9217,CENTRO PARA LA INDUSTRIA DE LA COMUNICACION GRAFICA,12558323,2022-07-18,2024-07-17,228101,102,PRODUCCION DE MULTIMEDIA,TECNOLOGO,PRESENCIAL,25,0,202402,0,730,24,7,2022,FALSE
